통신사,AP 설치장소명(국문),서비스 분류,광역시도(국문),시군구(국문),지번주소(국문),도로명주소(국문),위도,경도
KT,강남동사무소,관공서,강원도,강릉시,노암동 133,남부로 232,37.744168,128.905561
KT,강동면사무소,관공서,강원도,강릉시,강동면 상시동리 157-1,율곡로 2208 ,37.7280569,128.9543072
KT,강릉고용지원센터,관공서,강원도,강릉시,교동 1003-18,강릉대로 176,37.757104,128.8900263
KT,강릉노인종합복지관,서민/복지시설,강원도,강릉시,홍제동 96-54,경강로 1956,37.74769856,128.8839723
KT,강릉병무청 민원실,관공서,강원도,강릉시,노암동 200-11,칠성로 690,37.7486593,128.9073099
KT,강릉보건소,서민/복지시설,강원도,강릉시,내곡동 413,남부로17번길 38,37.7428091,128.8827447
KT,강릉성남시장,관광/편의시설,강원도,강릉시,성남동 53-8,중앙시장길 24-2,37.75373722,128.8990476
KT,강릉시 보건소,서민/복지시설,강원도,강릉시,내곡동 413,남부로17번길 38,37.74284674,128.8827239
KT,강릉시 여성회관,서민/복지시설,강원도,강릉시,포남동 1295-0,강릉대로 454 ,37.7733662,128.9133477
KT,강릉시립중앙도서관,지역문화시설,강원도,강릉시,포남2동 1295,강릉대로 454,37.7733662,128.9133477
KT,강릉시청,관공서,강원도,강릉시,홍제동 1001,강릉대로 33,37.7520088,128.8762856
KT,강릉시청,관공서,강원도,강릉시,홍제동 10001-0,강릉대로 33,37.7520088,128.8762856
KT,강릉시청소년수련관,서민/복지시설,강원도,강릉시,교동 2-21,종합운동장길 72-21,37.77230196,128.8941114
KT,강릉우체국,관공서,강원도,강릉시,성내동 28-0,자유시장길 41,37.7527634,128.8924595
KT,강릉운전면허시험장,관공서,강원도,강릉시,사천면 사기막리 464-1,사천면 중앙서로 464,37.7952175,128.8175785
KT,강릉정동진모래시계공원-옥외2,관광/편의시설,강원도,강릉시,강동면 정동진리 7-1,강동면 헌화로 990,37.68741394,129.0377671
KT,경포동사무소,관공서,강원도,강릉시,난곡동 88-3,운정길 16,37.783818,128.8807243
KT,교1동사무소,관공서,강원도,강릉시,교1동 1874,하슬라로 173,37.7655928,128.8741928
KT,교2동사무소,관공서,강원도,강릉시,교2동 723-5,율곡로 2974 ,37.7678829,128.8923665
KT,구정면사무소,관공서,강원도,강릉시,구정면 여찬리 400,구정중앙로 231,37.718329,128.880035
KT,내곡동사무소,관공서,강원도,강릉시,내곡동 329,범일로 574,37.7389627,128.8810138
KT,명주도서관,지역문화시설,강원도,강릉시,주문진읍 교항리 161,주문진읍 해안3길 11,37.885793,128.826477
KT,사천면사무소,관공서,강원도,강릉시,사천면 미노리 383,미노길 67 ,37.8236344,128.848799
KT,성덕동사무소,관공서,강원도,강릉시,입암동 58,성덕포남로 80-22,37.7632095,128.918906
KT,성산면사무소,관공서,강원도,강릉시,성산면 구산리 186,구산리 186,37.7187703,128.8324714
KT,송정동사무소,관공서,강원도,강릉시,송정동 161,경강로 2451,37.7746496,128.927528
KT,연곡면사무소,관공서,강원도,강릉시,연곡면 방내리 43-2,연곡면 연주로 35-8,37.86013,128.836953
KT,오죽헌,관광/편의시설,강원도,강릉시,죽헌동 201,율곡로3139번길 24 ,37.7795219,128.8773412
KT,옥계면사무소,관공서,강원도,강릉시,옥계면 현내리 310,현내시장길 30,37.6125748,129.03803
KT,옥천동사무소,관공서,강원도,강릉시,옥천동 327,경강로 2181,37.7601293,128.9033218
KT,왕산면사무소,관공서,강원도,강릉시,왕산면 도마리 328-3,백두대간로 1997,37.6727356,128.8379183
KT,이젠,서민/복지시설,강원도,강릉시,초당동 532-2,난설헌로 131,37.78965674,128.9076676
KT,주문진수산시장,서민/복지시설,강원도,강릉시,주문진읍 주문리 312-91,시장1길 4-1,37.8910001,128.8277793
KT,주문진읍사무소,관공서,강원도,강릉시,주문진읍 주문리 316,주문진읍 시장길 49-4,37.8921367,128.827221
KT,중앙동사무소,관공서,강원도,강릉시,임당동 37,토성로 163,37.7560046,128.8940879
KT,중앙시장,서민/복지시설,강원도,강릉시,성남동 50,금성로 21,37.754033,128.898612
KT,초당동사무소,관공서,강원도,강릉시,초당동 2,초당순두부길 99,37.7923423,128.9155776
KT,포남1동사무소,관공서,강원도,강릉시,포남1동 1158,성덕포남로 185,37.768105,128.908339
KT,포남2동사무소,관공서,강원도,강릉시,포남2동 1295-2,하평2길 29 ,37.7726769,128.9133642
KT,홍제동사무소,관공서,강원도,강릉시,홍제동 95,경강로 1953,37.7486012,128.8834243
KT,간성읍사무소 주민센터,관공서,강원도,고성군,간성읍 하리 28번지,간성읍 간성로 67번길 14,38.3782763,128.4668597
